Optimal,PopSize,ToMate,ToMutate
0.14279129092381265,200.0,50.0,5.0
0.14310920106874656,200.0,50.0,10.0
0.15160145659422897,200.0,50.0,15.0
0.1503988608491195,200.0,50.0,20.0
0.13271035151596347,200.0,50.0,25.0
0.14681040573736895,200.0,50.0,30.0
0.15209163762908814,200.0,50.0,35.0
0.1459508172572987,200.0,50.0,40.0
0.147424554176215,200.0,50.0,45.0
0.1417170757139754,200.0,75.0,5.0
0.14641876162754316,200.0,75.0,10.0
0.15345376565928306,200.0,75.0,15.0
0.1503988608491195,200.0,75.0,20.0
0.1352792439850338,200.0,75.0,25.0
0.14190515352415092,200.0,75.0,30.0
0.14943583067189603,200.0,75.0,35.0
0.1419005753367534,200.0,75.0,40.0
0.13747892976428944,200.0,75.0,45.0
0.14617359496295984,200.0,100.0,5.0
0.14593829971613495,200.0,100.0,10.0
0.13827007806174532,200.0,100.0,15.0
0.1503988608491195,200.0,100.0,20.0
0.1526711735679606,200.0,100.0,25.0
0.1503988608491195,200.0,100.0,30.0
0.1503988608491195,200.0,100.0,35.0
0.15107923609625082,200.0,100.0,40.0
0.13547725161475868,200.0,100.0,45.0
0.1371088235100139,200.0,125.0,5.0
0.1503988608491195,200.0,125.0,10.0
0.13758843754595457,200.0,125.0,15.0
0.15345376565928306,200.0,125.0,20.0
0.1503957503868239,200.0,125.0,25.0
0.14432204228141043,200.0,125.0,30.0
0.126094249414466,200.0,125.0,35.0
0.1503988608491195,200.0,125.0,40.0
0.13852776482312837,200.0,125.0,45.0
0.1525897971428177,200.0,150.0,5.0
0.13509167083003595,200.0,150.0,10.0
0.14311123569069226,200.0,150.0,15.0
0.13858140159038937,200.0,150.0,20.0
0.1344039468343701,200.0,150.0,25.0
0.1503988608491195,200.0,150.0,30.0
0.13651339614844954,200.0,150.0,35.0
0.13901328274841257,200.0,150.0,40.0
0.1503988608491195,200.0,150.0,45.0
0.13701925483073102,200.0,175.0,5.0
0.1503988608491195,200.0,175.0,10.0
0.1395438644835853,200.0,175.0,15.0
0.1503988608491195,200.0,175.0,20.0
0.14681040573736895,200.0,175.0,25.0
0.12499140167682533,200.0,175.0,30.0
0.1503988608491195,200.0,175.0,35.0
0.1503988608491195,200.0,175.0,40.0
0.12580596084213358,200.0,175.0,45.0
