iteration,MIMIC
100.0,3711.632438421861
200.0,3741.3595861957438
300.0,3752.3432709679964
400.0,3759.6568731345837
500.0,3764.045034434536
600.0,3766.9704753011542
700.0,3769.0600759201484
800.0,3770.627276384394
900.0,3771.846210078807
1000.0,3772.821357034338
1100.0,3773.619204543408
1200.0,3774.284077467668
1300.0,3774.8466622497376
1400.0,3775.3288777772264
1500.0,3776.8286149945507
1600.0,3778.292432712894
1700.0,3779.5840365820204
1800.0,3780.9261849674117
1900.0,3782.130806464793
2000.0,3783.326659219026
2100.0,3784.4630287629893
2200.0,3785.496091984774
2300.0,3786.4393236220553
2400.0,3787.303952622897
2500.0,3788.0994113036713
2600.0,3788.8336808551553
2700.0,3789.5135600694925
2800.0,3790.1448764828056
2900.0,3790.7326538331313
3000.0,3791.2812460267687
3100.0,3791.7944451756553
3200.0,3792.2755693777367
3300.0,3792.7275345372673
3400.0,3793.1529135109436
3500.0,3793.553985114695
3600.0,3793.932774962683
3700.0,3794.2910896837525
3800.0,3794.630545735292
3900.0,3794.9525937841886
4000.0,3795.25853943064
4100.0,3795.549560899216
4200.0,3795.826724202622
4300.0,3796.09099618959
4400.0,3796.343255813514
4500.0,3796.5915871591437
4600.0,3796.89178517617
4700.0,3797.1792088094926
4800.0,3797.4546564580933
4900.0,3797.7188613455273
5000.0,3797.9724980374635
5100.0,3798.2161881924612
5200.0,3798.4505056491894
5300.0,3798.6759809377395
5400.0,3798.893105289677
5500.0,3799.102334210634
5600.0,3799.304090670129
5700.0,3799.4987679556066
5800.0,3799.6867322312396
5900.0,3799.868324836513
6000.0,3800.0438643549433
6100.0,3800.213648479327
6200.0,3800.3779556964723
6300.0,3800.537046811486
6400.0,3800.6911663291557
6500.0,3800.84054370782
6600.0,3800.9853944992524
6700.0,3801.1259213864623
6800.0,3801.2623151299313
6900.0,3801.3947554315605
7000.0,3801.523411724572
7100.0,3801.648443896653
7200.0,3801.7700029528432
7300.0,3801.888231623932
7400.0,3802.003264925532
7500.0,3802.115230672423
7600.0,3802.2242499522904
7700.0,3802.3304375625507
7800.0,3802.433902413574
7900.0,3802.53474790128
8000.0,3802.633072251793
8100.0,3802.7289688405654
8200.0,3802.822526488148
8300.0,3802.913829734584
8400.0,3803.0029590942
8500.0,3803.0899912924137
8600.0,3803.1749994860174
8700.0,3803.258053468274
8800.0,3803.3509013485877
8900.0,3803.4519054217226
9000.0,3803.5506649599083
9100.0,3803.6472539587935
9200.0,3803.741743196833
9300.0,3803.834200408248
9400.0,3803.9246904449524
9500.0,3804.013275428252
9600.0,3804.1000148910666
9700.0,3804.1849659113486
9800.0,3804.268183237339
9900.0,3804.3497194052293
10000.0,3804.4296248497612
10100.0,3804.507948008263
10200.0,3804.584735418559
10300.0,3804.660031811179
10400.0,3804.7338801962487
10500.0,3804.8063219454125
10600.0,3804.8773968691203
10700.0,3804.947143289581
10800.0,3805.015598109663
10900.0,3805.0827968780004
11000.0,3805.1487738505502
11100.0,3805.2135620488193
11200.0,3805.2771933149766
11300.0,3805.3396983640337
11400.0,3805.401106833283
11500.0,3805.461447329154
11600.0,3805.5207474716476
11700.0,3805.579033936492
11800.0,3805.6363324951526
11900.0,3805.6926680528272
12000.0,3805.7480646845406
12100.0,3805.802545669449
12200.0,3805.856133523457
12300.0,3805.9088500302455
12400.0,3805.9607162707953
12500.0,3806.0117526514964
12600.0,3806.0619789309167
12700.0,3806.1114142453066
12800.0,3806.160077132909
12900.0,3806.2079855571383
13000.0,3806.2551569286866
13100.0,3806.3016081266237
13200.0,3806.3473555185315
13300.0,3806.3924149797335
13400.0,3806.436801911664
13500.0,3806.480531259418
13600.0,3806.5236175285286
13700.0,3806.5660748010096
13800.0,3806.607916750701
13900.0,3806.649156657951
14000.0,3806.6898074236688
14100.0,3806.7298815827808
14200.0,3806.769391317116
14300.0,3806.808348467755
14400.0,3806.846764546857
14500.0,3806.8846507490057
14600.0,3806.922017962084
14700.0,3806.9588767777054
14800.0,3806.995237501224
14900.0,3807.0311101613393
15000.0,3807.06650451932
15100.0,3807.1014300778575
15200.0,3807.1358960895714
15300.0,3807.169911565185
15400.0,3807.203485281375
15500.0,3807.2366257883236
15600.0,3807.2693414169785
15700.0,3807.301640286032
15800.0,3807.3335303086424
15900.0,3807.3650191988927
16000.0,3807.396114478015
16100.0,3807.4268234803776
16200.0,3807.457153359255
16300.0,3807.4871110923787
16400.0,3807.5167034872934
16500.0,3807.5459371865127
16600.0,3807.574818672488
16700.0,3807.603354272404
16800.0,3807.631550162797
16900.0,3807.6594123740138
17000.0,3807.6869467945103
17100.0,3807.714159175001
17200.0,3807.741055132463
17300.0,3807.767640154
17400.0,3807.7939196005777
17500.0,3807.8198987106225
17600.0,3807.845582603508
17700.0,3807.870976282914
17800.0,3807.8960846400796
17900.0,3807.920912456942
18000.0,3807.9454644091725
18100.0,3807.9697450691133
18200.0,3807.993758908615
18300.0,3808.0175103017837
18400.0,3808.041003527635
18500.0,3808.064242772666
18600.0,3808.0872321333422
18700.0,3808.109975618503
18800.0,3808.1324771516943
18900.0,3808.154740573423
19000.0,3808.1767696433444
19100.0,3808.1985680423763
19200.0,3808.2201393747514
19300.0,3808.241487170004
19400.0,3808.2626148848926
19500.0,3808.28352590527
19600.0,3808.304223547888
19700.0,3808.3247110621546
19800.0,3808.344991631833
19900.0,3808.3650683766905
